imbgeco,imueclt,imwbcnt,imsmetn,imdfetn,impcntr,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,lrscale,stflife,rlgdgr,gndr,mean_MigEnrich,mean_MigAllow,mean_Trust,lrscale_dummy
NA,8,5,4,4,4,2,4,5,0,2,3,0,5,10,9,Female,6.5,4,2.2857142857142856,middle
10,5,5,4,4,4,7,8,8,6,6,4,5,5,8,7,Female,6.666666666666667,4,6.285714285714286,middle
9,8,8,4,4,4,3,5,6,3,5,5,6,3,8,9,Female,8.333333333333334,4,4.714285714285714,middle
4,4,3,3,3,3,3,4,4,3,3,2,2,2,6,1,Male,3.6666666666666665,3,3,middle
8,8,8,4,NA,NA,4,5,7,5,5,4,5,1,9,5,Female,8,4,5,left
8,8,7,3,3,4,9,7,7,8,8,10,10,5,9,9,Female,7.666666666666667,3.3333333333333335,8.428571428571429,middle
10,10,6,3,3,2,10,10,10,10,4,10,10,5,10,5,Female,8.666666666666666,2.6666666666666665,9.142857142857142,middle
8,8,8,4,4,4,5,7,7,5,5,6,6,2,8,0,Male,8,4,5.857142857142857,middle
7,7,7,4,3,NA,5,8,9,5,5,3,7,3,4,3,Male,7,3.5,6,middle
7,4,5,4,3,2,7,8,8,6,6,7,7,5,9,9,Male,5.333333333333333,3,7,middle
0,0,0,2,2,2,NA,5,7,3,1,3,NA,1,10,5,Female,0,2,3.8,left
9,9,5,3,3,2,6,9,9,5,5,5,7,4,9,0,Female,7.666666666666667,2.6666666666666665,6.571428571428571,middle
10,10,5,4,3,3,6,7,7,6,3,5,5,5,9,10,Male,8.333333333333334,3.3333333333333335,5.571428571428571,middle
5,5,5,3,3,3,8,9,8,7,7,7,7,6,8,3,Male,5,3,7.571428571428571,middle
7,8,5,3,3,3,9,10,10,8,9,8,8,4,10,10,Male,6.666666666666667,3,8.857142857142858,middle
9,7,7,4,NA,3,6,8,7,6,4,6,6,3,9,0,Female,7.666666666666667,3.5,6.142857142857143,middle
5,8,4,4,NA,NA,8,9,9,4,3,4,5,0,7,2,Female,5.666666666666667,4,6,left
0,0,0,3,3,1,8,10,10,8,8,10,10,5,0,10,Female,0,2.3333333333333335,9.142857142857142,middle
8,7,7,4,3,2,5,5,5,5,5,5,5,5,8,5,Male,7.333333333333333,3,5,middle
6,6,6,4,3,3,5,5,8,0,0,5,5,5,10,4,Female,6,3.3333333333333335,4,middle
8,8,6,3,2,2,8,7,8,6,6,7,7,5,8,5,Female,7.333333333333333,2.3333333333333335,7,middle
4,3,3,3,3,2,0,2,7,0,2,0,3,6,6,5,Male,3.3333333333333335,2.6666666666666665,2,middle
6,10,5,3,3,2,2,2,8,NA,2,3,4,5,9,8,Female,7,2.6666666666666665,3.5,middle
4,3,2,2,2,3,5,2,2,4,4,5,5,5,4,6,Female,3,2.3333333333333335,3.857142857142857,middle
8,4,4,3,1,2,5,3,6,2,2,3,NA,8,5,8,Male,5.333333333333333,2,3.5,right
8,6,5,4,4,3,4,3,7,5,3,4,1,6,8,0,Male,6.333333333333333,3.6666666666666665,3.857142857142857,middle
